아이템명 (Long ver),재고 여부,총공정단위&공정순서,굿즈명,Goods(stock),GoodsName,제작협력사,파츠 유형,생산유형,1_표준원가,100_표준원가,50_표준원가,300_표준원가,500_표준원가,1000_표준원가,5000_표준원가,3000_표준원가,10000_표준원가,30000_표준원가,기본 사용 수량,구매/생산 담당자,총공정단위(입력중),공정순서(입력중),단위,공정진행 협력사,2022.2Q. 발주담당자 (from 공정진행 협력사),아이템 총 제작 리드타임_100개,아이템 총 제작 리드타임_300개,아이템 총 제작 리드타임_기본_500개,아이템 총 제작 리드타임_1000개,아이템 총 제작 리드타임_3000개,파츠 총 제작 리드타임_100개(from parts),파츠 총 제작 리드타임_300개(from parts),파츠 총 제작 리드타임_기본_500개(from parts),파츠 총 제작 리드타임_1000개(from parts),파츠 총 제작 리드타임_3000개(from parts),파츠명,파츠 제작 이동 리드타임(from parts),산출물 필터링_파츠 제작 이동 리드타임,ERP 품목 여부_text
,,,,실리콘 스트랩,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,0,False
,,,,실리콘 스트랩,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,0,False
,,,,스트랩마스크케이스,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,0,False
,,,,스트랩마스크케이스,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,0,False
,,,,노트북스탠드패드,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,0,False
,,,,노트북스탠드패드,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,0,False
,,,,미르텀블러,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,0,False
,,,,미르텀블러,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,0,False
ZETW_,,,0% 무염색 타올,,0% 무염색 타올,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,0,False
ZETW_PT0391-0%무염색타올(핸드타올)_아이보리,,,0% 무염색 타올,,0% 무염색 타올,케이준컴퍼니,Product Parts,,,0,0,0,0,0,0,0,0,0,,,,,,케이준컴퍼니,,0,0,0,0,0,0,0,,0,0,PT0391-0%무염색타올(핸드타올)_아이보리,,0,False
ZETW_PT0392-0%무염색타올(세면타올)_아이보리,,,0% 무염색 타올,,0% 무염색 타올,케이준컴퍼니,Product Parts,,,0,0,0,0,0,50,0,0,0,,,,,,케이준컴퍼니,,0,0,0,0,0,0,0,,0,0,PT0392-0%무염색타올(세면타올)_아이보리,,0,False
FSAN_,,,4초 에어 넥쿠션,,4초 에어 넥쿠션,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,0,False
FSAN_PT0393-무광스트링파우치(기성)_블랙_100-2,,,4초 에어 넥쿠션,,4초 에어 넥쿠션,Kapaii,Package Parts,,,0,0,0,0,0,0,0,0,0,,박형천,,,,Kapaii,,0,0,0,0,0,0,0,,0,0,PT0393-무광스트링파우치(기성)_블랙_100-2,,0,False
FSAN_PT0394-4초에어넥쿠션_블랙,⭕재고⭕,,4초 에어 넥쿠션,에어넥쿠션,4초 에어 넥쿠션,Kapaii,Product Parts,,,8333,0,8333,8333,7800,7800,7800,7800,7800,,박형천,,,,Kapaii,,0,0,0,0,0,0,0,,0,0,PT0394-4초에어넥쿠션_블랙,,0,False
FSAN_PT0395-에폭시스티커(4초에어넥쿠션)_화이트+디지털풀컬러[4초에어넥쿠션],,,4초 에어 넥쿠션,,4초 에어 넥쿠션,이지굿스,Product Parts,,,0,0,0,0,0,0,0,0,0,,안다정,,,,이지굿스,김영준,0,0,0,0,0,0,0,,0,0,PT0395-에폭시스티커(4초에어넥쿠션)_화이트+디지털풀컬러,,0,False
FSAN_PT0396-4초에어넥쿠션_그레이,⭕재고⭕,,4초 에어 넥쿠션,에어넥쿠션,4초 에어 넥쿠션,Kapaii,Product Parts,,,8333,0,8333,8333,7800,7800,7800,7800,7800,,박형천,,,,Kapaii,,0,0,0,0,0,0,0,,0,0,PT0396-4초에어넥쿠션_그레이,,0,False
CSTS_PT0024-편직양말_컬러,,,100% 커스텀 삭스,,100% 커스텀 삭스,준희어패럴,Product Parts,,,0,0,0,0,0,0,0,0,0,,,,,,준희어패럴,,0,0,0,0,0,0,0,,0,0,PT0024-편직양말_컬러,,0,False
CSTS_PT0027-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-18[실버팩],,,100% 커스텀 삭스,,100% 커스텀 삭스,서울디지털인쇄협동조합,Package Parts,,2000,200,200,180,160,150,110,130,90,70,,권혁인,,,,,,0,0,0,0,0,0,0,,0,0,PT0027-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-18,,0,False
