카테고리+법령,법령,카테고리,관련 상품군,표시분류 : 안전관리유형,인증/승인/등록 요건,KC표시의무,표시위치/방법(원칙),표시위치/방법(예외적허용),표시사항포맷_제거필요한지확인필요,Product guide 포맷_제거필요한지확인필요,정책2025_오프 포맷,정책2025_웹포맷,정책2025_본품부착 품표스티커,정책2025_MBS품표스티커,Status,버전(test),시행일,1. goods,참고자료(전안법가이드북),참고자료(개별표시사항),참고자료,참고자료(전안법가이드북구분),참고링크,참고_표시사항 가이드 관련
시행일 : 2024-12-31 | 전파법,전파법,,,,,,,,,,,,,,,V1.0,2024-12-31,,,,,,,
"폐지/삭제 | 시행일 : 2024-12-31 | 식품위생법_ 식품용 기구/용기_보틀, 컵, 빨대, 도시락",식품위생법, 식품용 기구/용기,"보틀, 컵, 빨대, 도시락",,,없음,"1. 잉크·각인 또는 소인으로 표시가 원칙
2. 소비자에게 판매하는 제품의 최소 판매단위별 용기·포장에 표시하거나 제품자체에 표시",*제품의 특성에 따라 스티커 또는 꼬리표를 사용하여 표시 가능,"식품위생법에 의한 한글 표시사항
제품명
재질 
제조자명
제조국명
판매자명
소비자상담실
사용상 주의사항 
+식품용기 도안 또는  ""식품용""이라는 문구","[제품 정보]
· 제품명 : 
· 제품 색상 : 
· 제품 규격(사이즈) :
· 패키지 규격 : 
· 제품 용량 : 
· 제품 무게 : 
· 제품 소재 : 
· 제조국 : 
· 판매원 : 신시어리
· 문의처 : ask@sincerely.one / 070 7169 1306

[제품 특이사항 및 사용 시 유의사항]
· 바디구조 : 
· 내열/내냉온도 : 
· 식기세척기 가능 여부 : 
· 전자레인지 가능 여부 :
· 오븐 가능 여부 : 
· 외 제품 별 상세 주의사항은 '스타벅스 store' 참고하여 작성 부탁드립니다. https://www.starbucks.co.kr/menu/product_view.do?product_cd=9300000005304 

[제작 유의사항]
· 제품 별 제작 유의사항 기입해주세요.","비매품, 판매품 표기 내용 동일

제조원 표기 
국내 : 풀네임
수입 : 풀네임

스탠다드 박스 (범용)
패키지 표기 제외

수입  시 패키지 
전용박스  : 전용박스 제품정보 부착필요 (없을 경우통관불가)

국내생산  패키지
본체에 부착","[제품 정보]
· 제품명 : 
· 제품 색상 : 
· 제품 규격(사이즈) :
· 패키지 규격 : 
· 제품 용량 : 
· 제품 무게 : 
· 제품 소재 : 
· 제조국 : 
· 판매원 : 신시어리
· 문의처 : ask@sincerely.one / 070 7169 1306

[제품 특이사항 및 사용 시 유의사항]
· 바디구조 : 
· 내열/내냉온도 : 
· 식기세척기 가능 여부 : 
· 전자레인지 가능 여부 :
· 오븐 가능 여부 : 
· 외 제품 별 상세 주의사항은 '스타벅스 store' 참고하여 작성 부탁드립니다. https://www.starbucks.co.kr/menu/product_view.do?product_cd=9300000005304 

[제작 유의사항]
· 제품 별 제작 유의사항 기입해주세요.

*제조원 노출제외 ","본품 하단 스티커 기본인데
상황에 따라 

만약 기존에 택이나, 삽지형태로 있으면 유지","MBS 대상일 경우 기존에 설정한 MBS 정책 유지  
",폐지/삭제,V1.0,2024-12-31,"BringYourCup,오픈 스트로우 세트,스테인리스 빨대 세트,아이콘 콜드컵,매트블랙 텀블러,폴더블 텀블러,I'm not a paper cup,페이머스 캡슐보틀,MiiR 텀블러,RE:CUP,데일리 머그,뮤지엄 머그,Carry me 와인잔,스파클링 유리컵,클리어 리유저블컵,드라이버스 텀블러,레터링 유리머그,슈가케인 텀블러,리틀빅 리유저블컵,미니멀 스텐머그,미스트 워터보틀,올데이 텀블러,스탠리 데일리 텀블러,스탠리 슬림 보틀,밀크 에코컵,어텐션 스포츠 보틀,레디고 런치박스",,,,,https://www.law.go.kr/%ED%96%89%EC%A0%95%EA%B7%9C%EC%B9%99/%EC%8B%9D%ED%92%88%EB%93%B1%EC%9D%98%20%ED%91%9C%EC%8B%9C%EA%B8%B0%EC%A4%80,https://www.mfds.go.kr/brd/m_119/view.do?seq=14831&srchFr=&srchTo=&srchWord=&srchTp=&itm_seq_1=0&itm_seq_2=0&multi_itm_seq=0&company_cd=&company_nm=&page=30
개정예정 | 시행일 : 2025-09-15 | 식품위생법_ 식품용 기구/용기_텀블러 (보온/보냉기능)_V2.0,식품위생법, 식품용 기구/용기,텀블러 (보온/보냉기능),,,없음,"1. 잉크·각인 또는 소인으로 표시가 원칙
2. 소비자에게 판매하는 제품의 최소 판매단위별 용기·포장에 표시하거나 제품자체에 표시
3.수입품의 경우 (식약처 등록된 제조사 확인 후 정확한 제조사명 기입, 재질명, 분리배출, 원산지표기(본품) 필요)",,"[식품등의 표시 광고에 의한 법률에 의한 한글 표시사항]
제품명: 
규격 :   Ø상단지름 x 높이 mm /  용량 ml         
재질 : 몸체(스테인리스스틸304),뚜껑(PP), 고무제(실리콘), 슬리브(PU)
내냉.내열: 0℃~100℃
보온·보냉 | 53℃(6시간), 9℃(6시간) --> 검사성적서 확인 후 표기가능. 
제조원 or 수입원 : 
판매원 : (주)크레비스파트너스/ 서울특별시 성동구 왕십리로 88.노벨딜딩 4F
제조국 : 
문의처 : ask@sincerely.one / 070 7169 1306 
*식품용 아이콘 추가 ",,"[식품등의 표시 광고에 의한 법률에 의한 한글 표시사항]
제품명: 
규격 : Ø상단지름 x 높이 mm /  용량 ml         
재질 : 몸체(스테인리스스틸304),뚜껑(PP), 고무제(실리콘), 슬리브(PU)
내냉.내열: 0℃~100℃
보온·보냉 | 53℃(6시간), 9℃(6시간) --> 검사성적서 확인 후 표기가능. 
제조원 or 수입원 : 
판매원 : (주)크레비스파트너스/ 서울특별시 성동구 왕십리로 88.노벨딜딩 4F
제조국 : 
문의처 : ask@sincerely.one / 070 7169 1306 
*식품용 아이콘 추가 ","1) 양식: 오프포맷에 제작유의사항 추가
","1) 양식: 오프포맷 양식적용 
2) 부착방식: 본품 부착/패키지부착X)","1) 양식: 
- 오프포맷 양식에서
제품명. 판매원 정보 변경 (주소, 전화번호, A/S 및 구매처 정보 변경)
2) 부착방식: 본품 부착X/패키지 부착

",개정예정,V2.0,2025-09-15,"어텐션 스포츠 보틀,매트블랙 텀블러,BringYourCup,폴더블 텀블러,MiiR 텀블러,RE:CUP,드라이버스 텀블러,리틀빅 리유저블컵,미니멀 스텐머그,올데이 텀블러,스탠리 데일리 텀블러,스탠리 슬림 보틀",,,,,https://www.mfds.go.kr/brd/m_218/view.do?seq=33342&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&company_cd=&company_nm=&page=1,https://www.mfds.go.kr/brd/m_218/view.do?seq=33342&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&company_cd=&company_nm=&page=1
"개정예정 | 시행일 : 2025-09-15 | 식품위생법_ 식품용 기구/용기_유리, 도자기 소재 (식기류)_V2.0",식품위생법, 식품용 기구/용기,"유리, 도자기 소재 (식기류)",,,없음,"1. 잉크·각인 또는 소인으로 표시가 원칙
2. 소비자에게 판매하는 제품의 최소 판매단위별 용기·포장에 표시하거나 제품자체에 표시
3.수입품의 경우 (식약처 등록된 제조사 확인 후 정확한 제조사명 기입, 재질명, 분리배출, 원산지표기(본품) 필요)",*제품의 특성에 따라 스티커 또는 꼬리표를 사용하여 표시 가능,"[식품등의 표시 광고에 의한 법률에 의한 한글 표시사항]
제품명: 
규격 :  Ø상단지름 x 높이 mm /  용량 ml         
재질 : 도자기제 / 유리종류 (내열유리, 석회유리 등) 
제조원 or 수입원 : 
판매원 : (주)크레비스파트너스/ 서울특별시 성동구 왕십리로 88.노벨딜딩 4F
제조국 : 대한민국
문의처 : ask@sincerely.one / 070 7169 1306 
*식품용 아이콘 추가 ",,"[식품등의 표시 광고에 의한 법률에 의한 한글 표시사항]
제품명: 
규격 :  Ø상단지름 x 높이 mm /  용량 ml         
재질 : 도자기제 / 유리종류 (내열유리, 석회유리 등) 
제조원 or 수입원 : 
판매원 : (주)크레비스파트너스/ 서울특별시 성동구 왕십리로 88.노벨딜딩 4F
제조국 : 대한민국
문의처 : ask@sincerely.one / 070 7169 1306 
*식품용 아이콘 추가 ","1) 양식: 오프포맷에 제작유의사항 추가
","1) 양식: 오프포맷 양식적용 
2) 부착방식: 본품 부착/패키지부착X)","1) 양식: 
- 오프포맷 양식에서
제품명. 판매원 정보 변경 (주소, 전화번호, A/S 및 구매처 정보 변경)
2) 부착방식: 본품 부착X/패키지 부착

",개정예정,V2.0,2025-09-15,"데일리 머그,뮤지엄 머그,스파클링 유리컵,레터링 유리머그",,,,,https://www.law.go.kr/%ED%96%89%EC%A0%95%EA%B7%9C%EC%B9%99/%EC%8B%9D%ED%92%88%EB%93%B1%EC%9D%98%20%ED%91%9C%EC%8B%9C%EA%B8%B0%EC%A4%80,https://www.mfds.go.kr/brd/m_119/view.do?seq=14831&srchFr=&srchTo=&srchWord=&srchTp=&itm_seq_1=0&itm_seq_2=0&multi_itm_seq=0&company_cd=&company_nm=&page=30
"개정예정 | 시행일 : 2025-09-15 | 식품위생법_ 식품용 기구/용기_플라스틱 소재 ( 컵, 빨대, 도시락 외) _V2.0",식품위생법, 식품용 기구/용기,"플라스틱 소재 ( 컵, 빨대, 도시락 외) ",,,없음,"1. 잉크·각인 또는 소인으로 표시가 원칙
2. 소비자에게 판매하는 제품의 최소 판매단위별 용기·포장에 표시하거나 제품자체에 표시
3.수입품의 경우 (식약처 등록된 제조사 확인 후 정확한 제조사명 기입, 재질명, 분리배출, 원산지표기(본품) 필요)",*제품의 특성에 따라 스티커 또는 꼬리표를 사용하여 표시 가능,"[식품등의 표시 광고에 관한 법률에 의한 한글표시사항 ]
제품명: 
규격 : 
용량 : 
재질 : 바디 (AS),뚜껑캡 (AS), 실리콘 / 빨대 - PC
내열/내냉온도 :
바디구조 : 
제조사 : 
판매원 : (주)크레비스파트너스. 서울시 성동구 왕십리로 88, 4층
제조국 : 대한민국
문의처 : ask@sincerely.one / 070 7169 1306 ",,"[식품등의 표시 광고에 관한 법률에 의한 한글표시사항 ]
제품명: 
규격 : 
용량 : 
재질 : 바디 (AS),뚜껑캡 (AS), 실리콘 / 빨대 - PC
내열/내냉온도 :
바디구조 : 
제조사 : 
판매원 : (주)크레비스파트너스. 서울시 성동구 왕십리로 88, 4층
제조국 : 대한민국
문의처 : ask@sincerely.one / 070 7169 1306 ","1) 양식: 오프포맷에 제작유의사항 추가
","1) 양식: 오프포맷 양식적용 
2) 부착방식: 본품 부착/패키지부착X)","1) 양식: 
- 오프포맷 양식에서
제품명. 판매원 정보 변경 (주소, 전화번호, A/S 및 구매처 정보 변경)
2) 부착방식: 본품 부착X/패키지 부착

",개정예정,V2.0,2025-09-15,"레디고 런치박스,오픈 스트로우 세트,스테인리스 빨대 세트,아이콘 콜드컵,I'm not a paper cup,페이머스 캡슐보틀,클리어 리유저블컵,슈가케인 텀블러,미스트 워터보틀,밀크 에코컵,Carry me 와인잔",,,,,https://www.law.go.kr/%ED%96%89%EC%A0%95%EA%B7%9C%EC%B9%99/%EC%8B%9D%ED%92%88%EB%93%B1%EC%9D%98%20%ED%91%9C%EC%8B%9C%EA%B8%B0%EC%A4%80,https://www.mfds.go.kr/brd/m_119/view.do?seq=14831&srchFr=&srchTo=&srchWord=&srchTp=&itm_seq_1=0&itm_seq_2=0&multi_itm_seq=0&company_cd=&company_nm=&page=30
"현행 | 시행일 : 2026-02-01 | 식품위생법_ 식품용 기구/용기_식품, 식품첨가물",식품위생법, 식품용 기구/용기,"식품, 식품첨가물",,,없음,"1. 잉크·각인 또는 소인으로 표시가 원칙
2. 소비자에게 판매하는 제품의 최소 판매단위별 용기·포장에 표시하거나 제품자체에 표시
3.수입품의 경우 (식약처 등록된 제조사 확인 후 정확한 제조사명 기입, 재질명, 분리배출, 원산지표기(본품) 필요)",*제품의 특성에 따라 스티커 또는 꼬리표를 사용하여 표시 가능,,,"[식품등의 표시 광고에 관한 법률에 의한 한글표시사항 ]
제품명:  
유형 : 
식품품목제조번호: 
원재료명 : 
내용량 :  00g 또는 00매 (실제 중량/수량)
소비기한 : 
제조사 : 법인명. 주소까지 표기필요
판매원 : (주)크레비스파트너스. 서울시 성동구 왕십리로 88, 4층
원산지 : 대한민국
문의처 : ask@sincerely.one / 070 7169 1306 ","1) 양식: 오프포맷에 제작유의사항 추가
","1) 양식: 오프포맷 양식적용 
2) 부착방식: 패키지","1) 양식: 
- 오프포맷 양식에서
제품명. 판매원 정보 변경 (주소, 전화번호, A/S 및 구매처 정보 변경)
2) 부착방식: 본품 부착X/패키지 부착

",현행,V1.0,2026-02-01,"레디고 런치박스,오픈 스트로우 세트,스테인리스 빨대 세트,아이콘 콜드컵,I'm not a paper cup,페이머스 캡슐보틀,클리어 리유저블컵,슈가케인 텀블러,미스트 워터보틀,밀크 에코컵,Carry me 와인잔",,,,,https://www.law.go.kr/%ED%96%89%EC%A0%95%EA%B7%9C%EC%B9%99/%EC%8B%9D%ED%92%88%EB%93%B1%EC%9D%98%20%ED%91%9C%EC%8B%9C%EA%B8%B0%EC%A4%80,https://www.mfds.go.kr/brd/m_119/view.do?seq=14831&srchFr=&srchTo=&srchWord=&srchTp=&itm_seq_1=0&itm_seq_2=0&multi_itm_seq=0&company_cd=&company_nm=&page=30
시행일 : 2024-12-31 | 소비자기본법_국내제조 공산품_국내 제조 필기구 및 기타 인증 의무 없는 일반 공산품,소비자기본법,국내제조 공산품,국내 제조 필기구 및 기타 인증 의무 없는 일반 공산품,,,,의무 표기사항은 아니나 인증업체에서 권장,,"품질 경영 및 공산품 안전관리법에 따른 표시사항
모델명:
재질: 
제조자명: 
제조국명: 대한민국
사용연령: 14세 이상(문구류에 한해 반드시 표시 권장):
고객지원센터 : 
사용 상 주의사항 :",,,,,,,V1.0,2024-12-31,"노트북 스탠드패드,어썸그립,홈카페 코스터,그립-잇,프레젠트 골프공 3구,오피스 마우스패드,웹캠 커버,Basket 패키지,에디션 골프공 & 볼마커 6구 세트,골프공 전용 쇼핑백,아쿠아 마스크,바이브 캠핑쿨러,Storage 펄프 박스,라이트 캘린더,시그니처 다이어리,Raw 코튼 파우치,실버팩,밸류 메모큐브,Open 페이퍼박스,ECO 페이퍼박스,클립 아트펜,브랜드-잇,밸류보드 다이어리,굿이너프 다이어리,Solid 스탠다드 G형 박스,디자이너 노트,글로시 키링,레더홀더,스트랩 마스크케이스,BoXtand 슬리브박스,Quality 슬리브 박스,코르크 데스크매트,KeepSafe 안전봉투,컬러풀 노트패드,Start 틴케이스,슬라이드 그립,Passion 더스트백,에디트 캘린더,Reinvent 박스,풀커버 스프링노트,슬로건 다이어리,화이트쇼핑백,애드온 뱃지,컬러풀 노트패드(블랙),프레시 캘린더,Simple 슬라이드지퍼백,레더스킨 다이어리,Dear 기프트박스,내추럴 노트,썸네일 캘린더,펠트스트링파우치,프라우드 투톤 명함지갑,리유저블 캘린더,브랜디파이 핸드스트랩,아트워크 레더 다이어리,펠트백,데코 스티커,베케이션 여권케이스,드레스업 손거울,페이퍼링 캘린더,Tailored 스트랩 박스,Advent 굿즈박스,퀵 버튼링 노트,프라우드 메모패드,리사이저블 페이퍼 박스,클린-잇 스티커,Stationery 페이퍼박스,BrandFit 커스텀 쇼핑백,Motion 스탠다드 박스,Motion 커스텀 박스,풀커버 스티치 노트,샤인 미러 키링,브랜드팝 클리어 키링,라이트 샤오미펜,HighLight 슬라이드 지퍼백,Solid 커스텀 G형 박스,심볼 아크릴 트로피,챔피언 피규어 트로피,몰스킨 데일리 노트,몰스킨 2026 다이어리,아임히어 리플렉터 키링,마그넷 오프너,아너 월넛 트로피 ,모뉴먼트 블랙 트로피,블랙쇼핑백",,,,,,
"시행일 : 2024-12-31 | 생활화학제품및살생물제의안전관리에관한법률(화학제품안전법)_방향제품_안전기준확인_샤쉐 멤브레인
디퓨저(액체형, 병타입)",생활화학제품및살생물제의안전관리에관한법률(화학제품안전법),방향제품,"샤쉐 멤브레인
디퓨저(액체형, 병타입)",안전기준확인,3자기관 시험 검사- CHEMP 신고승인,없음,"1. 기본적으로 필수 표시 사항은 제품 겉면에 표시
2. 필수 표시 사항을 제외한 나머지 공통 표시사항은 첨부 문서에 표시 가능
3. 1차포장과 2차포장이 다 있을 경우 각각의 겉면에 표시

- 판매자 생략 가능 (표시 필요하다면 """"크레비스 파트너스 신시어리 사업부""""
- 제품명 유지 필요 
- 제조업자 표시 필요

위 논의 슬랙 스레드 https://sincerelygroup.slack.com/archives/C015EU7UCLR/p1696579771233359?thread_ts=1696562537.001939&cid=C015EU7UCLR
","1. 표시면적이 50제곱센치미터 이하일 시 품목, 제품명, 제품승인번호 만 기입2. 별도 포장이 없는 경우 라벨/꼬리표 등을 사용하여 표시 가능
3. 면적에 따라 폰트 사이즈 규격도 확인 필요 (첨부이미지참고)
4. 안전기준확인 마크의 경우 비율 유지할 경우 크기 제한 없음  (첨부이미지참고) ","안전확인대상 생활화학제품 표시사항
신고번호(안전확인대상생활화학제품승인번호)
안전기준확인마크
제품명
품목: 방향제
용도
제형
제조자, 연락처
사용물질- 주요물질/ 알레르기물질/ 기타물질
유통기한
소비자상담실
사용방법
사용상 주의사항(응급처치 포함)",,,,,,,V1.0,2024-12-31,"유니크 디퓨저,페이퍼 샤쉐,에티켓 미스트,프리미엄 린넨샤쉐,클래시 차량용 방향제,위시 오브제 캔들",,"캡처.PNG (https://v5.airtableusercontent.com/v3/u/50/50/1770530400000/Fl5FddGrYMm-Jxmmx1KOCA/kP3O-L4QzpBoeEvgBIxaRiWgjJ09ewd4BY_PXxYIDX4Fitqu4cVXNUrsp6OKgEsUT_I69sLtuTLRmnrz7rjiFjfN21HQL45UprMM-_-OGxVXM2ooY9MDOshEpDRjbnNN/-i5MAz8R8S-lGkkOg8Ikj4imSWWqeGV2D9O4Q6midVs),캡처.PNG (https://v5.airtableusercontent.com/v3/u/50/50/1770530400000/HssUVBu_ZtRW2-9GIuzpfQ/bt-oiSmMPpLojZNxl9VUKVY2V9tQKFGV7Y775nYew0owFcEd27qWlt2qb8IA9yxUg2Y9joxx0B8RNs9DETYg1FJ3p1x-_47edRUWcWnx4-eQdDg-UoACAL-k6roczkeV/cpfjcq9totMyjVg6N-QTxQeED4-qnwb0CMbb8GNANNA),image.png (https://v5.airtableusercontent.com/v3/u/50/50/1770530400000/v4Vb7h9iFCaTYYTY8FOBew/HA8z8jxFtcP2MKQ6WzYiER0MicpDMsPhJ79f_YelXYGLgxy8GxfwIUHp6Bqoj1FpcA3LWMCDBmwJYZmzqCbU-dpgs9MsOSGtLOt701oviVlFfLOm6Z5Wme5sC85iZqLKMDyF3WWACiqFgUdfRyQhsg/VvPYB4MnMtopdY2aiY0z6ahcEfOQLx87J1jK12NrnNg)",,,,https://sincerelygroup.slack.com/archives/C03R4LMTNEA/p1695359818880609?thread_ts=1695164971.671039&cid=C03R4LMTNEA
"시행일 : 2024-12-31 | 전기용품및생활용품안전관리법(전안법)_생활용품_안전인증_해당없음(타이어,압력밥솥,비비탄총 등)",전기용품및생활용품안전관리법(전안법),생활용품,"해당없음(타이어,압력밥솥,비비탄총 등)",안전인증,"공장심사, 제품 검사- 인증서/인증번호 발급",있음,,,생략- 제품군별 상이하여 필요시 전기용품표시사항가이드북 자료 참고,,,,,,,V1.0,2024-12-31,하이업 노트북 폴딩스탠드,,,,,,
시행일 : 2024-12-31 | 전기용품및생활용품안전관리법(전안법)_생활용품_안전확인_온열팩(핫팩),전기용품및생활용품안전관리법(전안법),생활용품,온열팩(핫팩),안전확인,"제품 검사, 신고서류검토- 신고확인증/신고번호 발급",있음,"1. 제품/ 최소 포장마다 보기 쉬운 곳에 쉽게 지워지지 않는 방법 표시
","*사용상 주의 사항은 제품/포장 외 별도의 설명서로 표시 가능하나 
주의사항의 위치, 내용/ 형태를 확실히 눈에 띄게 해야함","전기용품 및 생활용품 안전관리법에 의한 표시
KC마크와 안전확인신고번호
제품명: 예- 데일리핫팩
모델명
지속시간 및 최고온도(지속시간은 40도 이상인 시간을 기준으로 표시)
제조연월 
제조자명
주소 및 전화번호
제조국명: 국내 제조일 경우 생략 가능
사용연령
소비자상담실
사용상 주의사항",,,,,,,V1.0,2024-12-31,데일리 핫팩 세트,,,,,,
