Goods Name,Goods Code,출시일,리뉴얼,졸업일,제조국,Goods Category_1.goods,굿즈 Status_1.goods,itemdb (new),HS CODE 및 MBS 유의사항,"판매가(300개,표준인쇄포함)",제품유형_1차분류,제품유형_2차분류,제품유형_3차분류,제품군_일상/계절,제품유형_ESG,IP,출시일/졸업일 비고,PB/NB
아이콘 콜드컵,ICCC,2020-04-01,2021-04-29,2025-12-31,대한민국,Drinkware,졸업,"ICCC_PT1350-아이콘콜드컵(돔형)_투명,ICCC_PT1351-UV_아이콘콜드컵_청산인쇄[아이콘콜드컵],ICCC_PT1349-실크_양면_아이콘콜드컵_제이더블유굿즈[아이콘콜드컵],ICCC_PT1353-실크_단면_아이콘콜드컵_제이더블유굿즈[아이콘콜드컵],ICCC_PT1356-단품박스(기성)_100-10,ICCC_PT0536-무광스트링파우치(커스텀인쇄)(M)_반투명_200-1,ICCC_PT1354-주의사항표기서(전용)_화이트_000-3,ICCC_PT1357-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-21[단품박스],ICCC_PT1448-아이콘아크릴_투명[아이콘콜드컵],ICCC_PT0537-실크_50x100_Passion더스트백_개미기획[무광비닐조리개파우치],ICCC_PT0535-실크_Passion더스트백_개미기획[무광비닐조리개파우치],ICCC_PT1352-아이콘콜드컵(플랫형)_투명,ICCC_PT2641-샘플(본제작과동일옵션)[아이콘콜드컵],ICCC_PT1355-아이콘콜드컵빨대_투명,ICCC_PT2553-아이콘콜드컵_추상적산출물,ICCC_,ICCC_PT3584-외주생산총공정산출물_아이콘콜드컵,ICCC_PT3605-외주생산총공정산출물_무광스트링파우치,ICCC_PT3757-조립산출물_아이콘콜드컵,ICCC_PT3805-사각스티커(커스텀인쇄)(판매용)_화이트+디지털풀컬러[단품박스],ICCC_[단품박스]",HS CODE 3924.10-0000 ,"10,000 미만",Drinkware,콜드컵,플라스틱 콜드컵,계절적제품: 여름,,,,NB
페이머스 캡슐보틀,FACB,2020-04-01,2021-12-21,2025-12-31,대한민국,Drinkware,졸업,"FACB_PT1700-페이머스캡슐보틀(트라이탄)_아이보리,FACB_PT1702-페이머스캡슐보틀(PP)_화이트,FACB_PT1704-실크_페이머스캡슐보틀_제이더블유굿즈[페이머스캡슐보틀],FACB_PT1705-단품박스(기성)_000-21,FACB_PT1701-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-52[제조사_단품박스],FACB_PT1703-주의사항표기서(전용)_화이트_000-6[페이머스캡슐보틀],FACB_PT1706-단품박스(커스텀인쇄)_화이트+옵셋풀컬러_000-21,FACB_PT2634-샘플(본제작과동일옵션)[페이머스캡슐보틀],FACB_PT1707-페이머스캡슐보틀(에코젠)_아이보리,FACB_,FACB_,FACB_PT1708-주의사항표기서(전용)_화이트_000-6_B[페이머스캡슐보틀],FACB_,FACB_,FACB_PT2589-페이머스캡슐보틀_추상적산출물,FACB_PT3731-조립산출물_페이머스캡슐보틀,FACB_PT4929-사각스티커(커스텀인쇄)(판매용)_화이트+디지털풀컬러","HS CODE 3924.10-0000
(효경)
MBS 발주 시 품질표기스티커 MD팀에 템플릿 제작 요청 필요 ","10,000 미만",Drinkware,보틀,플라스틱 보틀,계절적제품: 여름,,,,PB
스파클링 유리컵,SPKL,2021-08-23,,2025-12-31,중국,Drinkware,졸업,"SPKL_PT1170-스파클링유리컵(473ml),SPKL_PT1171-전사_1색_단면_스파클링유리컵_명품전사[스파클링유리컵],SPKL_PT1172-전사_2색_단면_스파클링유리컵_명품전사[스파클링유리컵],SPKL_PT1173-전사_3색_단면_스파클링유리컵_명품전사[스파클링유리컵],SPKL_PT1174-전사_4색_단면_스파클링유리컵_명품전사[스파클링유리컵],SPKL_PT1175-전사_5색_단면_스파클링유리컵_명품전사[스파클링유리컵],SPKL_PT1176-단품박스(기성(배송용))_000-24,SPKL_PT1177-샘플_1색_단면_스파클링유리컵_명품전사,SPKL_PT1178-샘플_2색_단면_스파클링유리컵_명품전사,SPKL_PT1179-샘플_3색_단면_스파클링유리컵_명품전사,SPKL_PT1180-샘플_4색_단면_스파클링유리컵_명품전사,SPKL_PT1181-샘플_5색_단면_스파클링유리컵_명품전사,SPKL_PT0952-골지단품박스(스탠다드)_블랙_000-1,SPKL_PT0953-골지단품박스(스탠다드)_화이트_000-1,SPKL_PT1182-사각스티커(스탠다드)_블랙_000-43,SPKL_PT1183-사각스티커(스탠다드)_화이트_000-43,SPKL_PT1184-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-44,SPKL_PT0951-텀블러류지지대(스탠다드)_화이트_000-2,SPKL_PT0950-텀블러류지지대(스탠다드)_블랙_000-2,SPKL_PT1185-샘플_1색_양면340도_스파클링유리컵_명품전사,SPKL_PT1186-샘플_2색_양면340도_스파클링유리컵_명품전사,SPKL_PT1187-샘플_3색_양면340도_스파클링유리컵_명품전사,SPKL_PT1188-샘플_4색_양면340도_스파클링유리컵_명품전사,SPKL_PT1189-샘플_5색_양면340도_스파클링유리컵_명품전사,SPKL_PT1190-전사_1색_양면340도_스파클링유리컵_명품전사[스파클링유리컵],SPKL_PT1191-전사_2색_양면340도_스파클링유리컵_명품전사[스파클링유리컵],SPKL_PT1192-전사_3색_양면340도_스파클링유리컵_명품전사[스파클링유리컵],SPKL_PT1193-전사_4색_양면340도_스파클링유리컵_명품전사[스파클링유리컵],SPKL_PT1194-전사_5색_양면340도_스파클링유리컵_명품전사[스파클링유리컵],SPKL_PT3747-조립산출물_스파클링유리컵,SPKL_PT3789-스파클링유리컵_추상적산출물,SPKL_PT3831-사각스티커(커스텀인쇄)(판매용)_화이트+디지털풀컬러",,"10,000 미만",Drinkware,유리컵,원통형 유리컵,계절적제품: 여름,,,,NB
브랜디파이 핸드스트랩,BRDF,2021-10-25,,2025-12-31,대한민국,Tech,졸업,"BRDF_PT1033-브랜디파이핸드스트랩,BRDF_PT1034-UV_4도_브랜디파이핸드스트랩_이지굿스[브랜디파이핸드스트랩],BRDF_PT1035-배경지(커스텀인쇄)_화이트+디지털풀컬러_100-11[OPP],BRDF_PT1036-OPP_100-15,BRDF_PT1037-샘플_4도_원단인쇄_브랜디파이핸드스트랩_이지굿스[브랜디파이핸드스트랩],BRDF_,BRDF_,BRDF_PT2530-브랜디파이핸드스트랩_추상적산출물,BRDF_PT3587-외주생산총공정산출물_브랜디파이핸드스트랩,BRDF_PT3636-조립산출물_브랜디파이핸드스트랩",,"10,000 미만",Tech,모바일 악세사리,핸드스트랩,일상적제품,,,,PB
리프레쉬 고체치약,TUTH,2022-04-29,,2025-12-31,대한민국,Lifestyle,졸업,"TUTH_PT2182-리프레쉬고체치약(페퍼민트.50정),TUTH_PT2183-단품박스(스탠다드)_웜그레이_000_28,TUTH_PT2184-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000_80,TUTH_PT2185-자유형스티커(커스텀인쇄)_반투명+디지털풀컬러,TUTH_PT2186-단품박스(커스텀인쇄)_화이트+옵셋풀컬러_000_28,TUTH_PT2187-린넨메쉬스트링파우치(스탠다드)(M),TUTH_PT2188-실크_전면_개미기획[린넨메쉬스트링파우치],TUTH_PT2361-택스티커(전용)(고체치약봉인용),TUTH_PT3672-조립산출물_리프레쉬고체치약,TUTH_PT3782-인쇄된린넨메쉬스트링파우치,TUTH_PT4239-리프레쉬고체치약(쿨민트.50정)",자사 B2C브랜드 비코드,"10,000 미만",Lifestyle,구강관리,치약,일상적제품,ESG,,,NB
투마일 오피스 슬리퍼,TMLO,2022-03-21,,2025-12-31,대한민국,Lifestyle,졸업,"TMLO_PT2190-샘플(UV인쇄)_블랙갑피_와이이케이글래스주식회사,TMLO_PT2191-투마일오피스슬리퍼_화이트,TMLO_PT2192-투마일오피스슬리퍼_블랙,TMLO_PT2193-UV_화이트갑피_와이이케이글래스주식회사[투마일슬리퍼],TMLO_PT2194-OPP(기성(배송용))_협력사로고,TMLO_PT2195-택스티커(전용)(230mm/35)_화이트_000-1,TMLO_PT2196-택스티커(전용)(240mm/37)_화이트_000-1,TMLO_PT2197-택스티커(전용)(250mm/38)_화이트_000-1,TMLO_PT2198-택스티커(전용)(260mm/40)_화이트_000-1,TMLO_PT2199-택스티커(전용)(270mm/41)_화이트_000-1,TMLO_PT2200-택스티커(전용)(280mm/43)_화이트_000-1,TMLO_PT2201-택스티커(전용)(290mm/44)_화이트_000-1,TMLO_PT2115-펠트스트링파우치(커스텀인쇄)_그레이_300-2,TMLO_PT2209-UV_블랙갑피_와이이케이글래스주식회사[투마일슬리퍼],TMLO_PT2213-샘플(UV인쇄)_화이트갑피_와이이케이글래스주식회사,TMLO_PT2215-샘플(실크)_개미기획,TMLO_PT2214-실크_개미기획[펠트스트링파우치],TMLO_,TMLO_PT2320-OPP(기성(배송용))_200-8,TMLO_PT2583-투마일오피스슬리퍼_추상적산출물,TMLO_PT2584-펠트스트링파우치_추상적산출물,TMLO_PT3577-외주생산총공정산출물_투마일오피스슬리퍼,TMLO_PT3700-조립산출물_투마일오피스슬리퍼,TMLO_PT4407-샘플(UV인쇄)_화이트갑피_아이큐아이,TMLO_PT4408-샘플(UV인쇄)_블랙갑피_아이큐아이,TMLO_PT4409-투마일오피스슬리퍼_추상적산출물,TMLO_PT4410-투마일오피스슬리퍼_화이트,TMLO_PT4411-투마일오피스슬리퍼_블랙,TMLO_PT4412-UV_화이트갑피_아이큐아이[투마일슬리퍼],TMLO_PT4413-UV_블랙갑피_아이큐아이[투마일슬리퍼],TMLO_PT4414-OPP(기성(배송용))",,"25,000 미만",Apparel,슬리퍼,오피스 슬리퍼,일상적제품,,,,NB
아쿠아 마스크,ISKM,2023-05-26,,2025-12-31,대한민국,Lifestyle,졸업,"ISKM_PT2826-아쿠아스노클링마스크(세트_본품및파우치),ISKM_PT3172-실크_지정1색_스노클상단_믿음뒤나미스,ISKM_PT3173-실크_지정1색_좌우버클_믿음뒤나미스,ISKM_PT3174-실크_화이트1색_메쉬파우치_믿음뒤나미스,ISKM_PT3175-주의사항표기서(전용)_화이트+디지털풀컬러,ISKM_PT3176-아쿠아스노클링마스크_추상적산출물,ISKM_PT3073-에어캡봉투(중),ISKM_PT3568-외주생산총공정산출물_아쿠아스노클링마스크,ISKM_PT3632-조립산출물_아쿠아스노클링마스크",,"30,000미만",Lifestyle,마스크,스노클링마스크,계절적제품: 여름,,,,PB
로지텍 페블 블루투스 마우스,BLTS,2024-04-16,,2025-07-28,중국,Tech,졸업,"BLTS_PT3949-페블마우스_도브화이트,BLTS_PT3950-페블마우스_스모키블랙,BLTS_PT3951-페블마우스_더스티로즈,BLTS_,BLTS_PT3954-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,BLTS_PT3955-사각스티커(커스텀인쇄)(판매용)_화이트+디지털풀컬러,BLTS_PT3357-주의사항표기서(전용)_화이트,BLTS_PT0388-단품박스(스탠다드)_화이트_000-15,BLTS_PT3953-샘플(UV)_풀컬러_마우스중앙_호언[페블마우스],BLTS_PT3952-UV_풀컬러_마우스중앙_호언[페블마우스],BLTS_PT3975-외주생산총공정산출물_로지텍페블블루투스마우스,BLTS_PT3976-조립산출물_로지텍페블블루투스마우스","사각스티커 TMP 생성 완료 
- 무지 제품은 판매 불가 (인쇄 가공 필수)","35,000 미만",Tech,PC/ 노트북 악세사리,마우스,일상적제품,,,,NB
스테이쿨 넥쿨러,STCN,2024-04-30,,2025-07-28,중국,Lifestyle,졸업,"STCN_PT3962-스테이쿨넥쿨러_블루,STCN_PT3963-스테이쿨넥쿨러_핑크,STCN_,STCN_PT3965-UV_1곳_주식회사코스맥스코리아[스테이쿨넥쿨러],STCN_PT3966-UV_2곳_주식회사코스맥스코리아[스테이쿨넥쿨러],STCN_PT1317-실버팩_100-5,STCN_PT3967-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,STCN_,STCN_PT3358-주의사항스티커(전용)_화이트+디지털풀컬러,STCN_PT3964-스테이쿨넥쿨러_네온블루,STCN_PT3968-스테이쿨넥쿨러_네온그린,STCN_,STCN_PT3969-스테이쿨넥쿨러_네온핑크,STCN_PT3970-샘플(UV)_1곳_주식회사코스맥스코리아[스테이쿨넥쿨러],STCN_PT3971-샘플(UV)_2곳_주식회사코스맥스코리아[스테이쿨넥쿨러],STCN_PT3974-주의사항스티커(전용)(판매용)_화이트+디지털풀컬러,STCN_PT3977-스테이쿨넥쿨러_추상적산출물,STCN_PT3978-조립산출물_스테이쿨넥쿨러","1. 가격비교 사이트 판매 불가 
네이버, 쿠팡 등 가격비교 사이트 유통 불가
2. 기업 고객의 유통처 
 기업 고객의 자사쇼룸. 팝업 스토어 정도로 제한","10,000 미만",Lifestyle,계절용품,넥쿨러,계절적제품: 여름,,,,NB
데일리 머그,DMUG,2019-08-01,,2025-07-25,대한민국,Drinkware,졸업,"DMUG_PT2616-샘플(본제작과동일옵션)[데일리머그],DMUG_PT0746-데일리머그_블랙,DMUG_PT0754-데일리머그_화이트,DMUG_PT0748-전사_1색_외부단면_데일리머그_홍보요업[데일리머그],DMUG_PT0645-단품박스(기성(배송용)),DMUG_PT0919-골지단품박스_그레이_100-1,DMUG_PT0921-샘플(색상만확인)[데일리머그],DMUG_PT0760-사각스티커(커스텀인쇄)_화이트+디지털풀컬러_000-63[골지단품박스_그레이],DMUG_PT0920-골지단품박스(커스텀인쇄)_화이트+옵셋풀컬러_100-1,DMUG_PT0744-전사_2색_외부단면_데일리머그_홍보요업[데일리머그],DMUG_PT0743-전사_3색_외부단면_데일리머그_홍보요업[데일리머그],DMUG_PT0757-전사_4색_외부단면_데일리머그_홍보요업[데일리머그],DMUG_PT0753-전사_5색_외부단면_데일리머그_홍보요업[데일리머그],DMUG_PT0751-전사_6색_외부단면_데일리머그_홍보요업[데일리머그],DMUG_PT0741-전사_7색_외부단면_데일리머그_홍보요업[데일리머그],DMUG_PT0756-전사_8색_외부단면_데일리머그_홍보요업[데일리머그],DMUG_PT0750-전사_1색_외부360도_데일리머그_홍보요업[데일리머그],DMUG_PT0755-전사_2색_외부360도_데일리머그_홍보요업[데일리머그],DMUG_PT0745-전사_3색_외부360도_데일리머그_홍보요업[데일리머그],DMUG_PT0742-전사_4색_외부360도_데일리머그_홍보요업[데일리머그],DMUG_PT0752-전사_5색_외부360도_데일리머그_홍보요업[데일리머그],DMUG_PT0758-전사_6색_외부360도_데일리머그_홍보요업[데일리머그],DMUG_PT0747-전사_7색_외부360도_데일리머그_홍보요업[데일리머그],DMUG_PT0749-전사_8색_외부360도_데일리머그_홍보요업[데일리머그],DMUG_PT0759-전사_내부단면_데일리머그_홍보요업[데일리머그],DMUG_,DMUG_PT0761-골지단품박스_그레이_100-4,DMUG_,DMUG_PT0762-골지단품박스(커스텀인쇄)_화이트+옵셋풀컬러_100-4,DMUG_PT2498-데일리머그_추상적산출물,DMUG_PT3683-조립산출물_데일리머그,DMUG_PT3825-사각스티커(커스텀인쇄)(판매용)_화이트+디지털풀컬러[골지단품박스_그레이],DMUG_PT5002-전사_특수색상추가(1색)_홍보요업,DMUG_PT5030-전사_특수색상추가(2색)_홍보요업,DMUG_PT5029-전사_특수색상추가(3색)_홍보요업",,"10,000 미만",Drinkware,머그컵,세라믹 머그,일상적제품,,,,NB
