파츠명 (Long ver),굿즈 연결 현황 (from item),파츠 유형,파츠: 가로x세로x높이(장폭고),파츠: 지류/소재,발주 세부사항(임가공 포함),재고여부,제작협력사,itemdb (new),1개_표준원가,50개_표준원가,100개_표준원가,300개_표준원가,500개_표준원가,1000개_표준원가,3000개_표준원가,5000개_표준원가,10000개_표준원가,30000개_표준원가,재고_리드타임,파츠 제작 리드타임_기본_500개,파츠 제작 이동 리드타임,파츠 제작 리드타임_수량별 조정_1000개,파츠 제작 리드타임_수량별 조정_3000개,파츠 총 제작 리드타임_기본_500개,파츠 총 제작 리드타임_1000개,파츠 총 제작 리드타임_3000개,파츠 제작 리드타임_수량별 조정_100개,파츠 총 제작 리드타임_100개,파츠 제작 리드타임_수량별 조정_300개,파츠 총 제작 리드타임_300개
PT0767-듀얼USB3.1(32GB)_실버,,Product Parts,38.1x20.1x9.4,,,,주식회사 이제이네트웍스,DUSB_PT0767-듀얼USB3.1(32GB)_실버,,,8272,8272,8272,8272,8272,8272,8272,8272,,,,,,,0,0,,0,,0
PT1076-센텐스펜_블랙,,Product Parts,143x10,플라스틱,,,(주)효성에스피,STCP_PT1076-센텐스펜_블랙,,0,450,450,450,450,450,450,450,450,,1,2,1,1,1,2,2,,1,,1
PT1533-인스타피규어_핸드블록(C)_화이트,,Product Parts,24x16,,,,엠알오즈(MROZ),"CPLG_PT1533-인스타피규어_핸드블록(C)_화이트,ISGK_PT1533-인스타피규어_핸드블록(C)_화이트[인스타가드닝키트]",60000,1200,600,600,600,500,500,500,500,500,,,,,,,0,0,,0,,0
PT0382-실크_1색_NoStressPD충전기_엠피맨코리아,,Printing Parts,,,,,주식회사 에스피디(SPD),PDCG_PT0382-실크_1색_NoStressPD충전기_엠피맨코리아[노스트레스PD충전기],,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,,0
PT0659-전사_74x105_굿이너프다이어리_승화파트너스,,Printing Parts,,,,,(주)승화파트너스,GEND_PT0659-전사_74x105_굿이너프다이어리_승화파트너스[굿이너프다이어리_커버],,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,,0
PT0538-슬리브(커스텀인쇄)(세로형)_블랙_200-1,,Package Parts,247x217x93,,,,(주)청산인쇄,SLVB_PT0538-슬리브(커스텀인쇄)(세로형)_블랙_200-1,,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,,0
PT1589-컴퍼니워터(다이아몬드EC500ml),,Product Parts,,,,,헬로우비,CWTR_PT1589-컴퍼니워터(다이아몬드EC500ml),,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,,0
PT0888-패드_유광블랙1색_모바일오피스파우치_동우패드,,Printing Parts,,,,,동우패드,MOFP_PT0888-패드_유광블랙1색_모바일오피스파우치_동우패드[모바일오피스파우치],,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,,0
PT0001-색박(음각)_100x150_슬로건다이어리_유엘상사,,Printing Parts,,,,,유엘상사,SLGN_PT0001-색박(음각)_100x150_슬로건다이어리_유엘상사[슬로건다이어리],,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,,0
PT0002-레이저각인_BringYourCup_한주텀블러,,Printing Parts,,,,,강천FNT,BYCT_PT0002-레이저각인_BringYourCup_한주텀블러[브링유어컵텀블러_바디],,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,,0
PT0003-실크_BringYourCup_한주텀블러,,Printing Parts,,,,,강천FNT,BYCT_PT0003-실크_BringYourCup_한주텀블러[브링유어컵텀블러_바디],,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,,0
PT1761-프레시캘린더_내지(커스텀인쇄)_화이트+옵셋지정색,,Product Parts,200x132,아코팩 웜화이트 200g,양면 4도인쇄,,(주)청산인쇄,FRCL_PT1761-프레시캘린더_내지(커스텀인쇄)_화이트+옵셋지정색,,,2049,1550,1100,936,845,845,780,780,,,,,,,0,0,,0,,0
PT0968-밸류메모큐브(비접착.M.측면+낱장)_화이트+디지털풀컬러,,Product Parts,80x80x56,백색모조지 80g,"91B4E61C5A220888058

**최소수량 7개 (4개단위로 up)
1) 떡제본상철(떡메)
2) 측면인쇄_3방인쇄
3) 낱장인쇄",,주식회사 베러웨이시스템즈,VMCB_PT0968-밸류메모큐브(비접착.M.측면+낱장)_화이트+디지털풀컬러,645771,4027,4034,3521,3496,3475,3468,3467,3466,3465,,13,,,,13,13,13,-5,8,-2,11
PT0005-실크_1색_얼티밋배터리_개미기획,,Printing Parts,,,,,개미기획,UTBT_PT0005-실크_1색_얼티밋배터리_개미기획[얼티밋배터리],,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,,0
PT0741-전사_7색_외부단면_데일리머그_홍보요업,,Printing Parts,,,,,홍보요업,DMUG_PT0741-전사_7색_외부단면_데일리머그_홍보요업[데일리머그],,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,,0
PT0006-플랫무선충전패드(원형)_화이트,,Product Parts,69x69x8,,,,코스맥스코리아,,,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,,0
PT0393-무광스트링파우치(기성)_블랙_100-2,,Package Parts,170x250,,,,Kapaii,FSAN_PT0393-무광스트링파우치(기성)_블랙_100-2,,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,,0
PT1048-비치타월_직조라벨,,Product Parts,,,,,(주)승화파트너스,BCTW_PT1048-비치타월_직조라벨,,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,,0
