Code,품목,제품유형 3차분류,제품유형 2차분류,제품유형 1차분류,굿즈 Status 1.goods,PB/NB,출시일,리뉴얼,단종일,"판매일수 
(딘종일-출시일)","판매월 
(딘종일-출시일)",시즌,시즌_1,IP,수주액 2022,수주액 2022/01,수주액 2022/02,수주액 2022/03,수주액 2022/04,수주액 2022/05,수주액 2022/06,수주액 2022/07,수주액 2022/08,수주액 2022/09,수주액 2022/10,수주액 2022/11,수주액 2022/12,수주액 2023,수주액 2023/01,수주액 2023/02,수주액 2023/03,수주액 2023/04,수주액 2023/05,수주액 2023/06,수주액 2023/07,수주액 2023/08,수주액 2023/09,수주액 2023/10,수주액 2023/11,수주액 2023/12,수주액 2024,수주액 2024/01,수주액 2024/02,수주액 2024/03,수주액 2024/04,수주액 2024/05,수주액 2024/06,수주액 2024/07,수주액 2024/08,수주액 2024/09,수주액 2024/10,수주액 2024/11,수주액 2024/12,수주액 2025,수주액 2025/01,수주액 2025/02,수주액 2025/03,수주액 2025/04,수주액 2025/05,수주액 2025/06,수주액 2025/07,수주액 2025/08,수주액 2025/09,수주액 2025/10,수주액 2025/11,수주액 2025/12,판매량 2022,판매량 2022/01,판매량 2022/02,판매량 2022/03,판매량 2022/04,판매량 2022/05,판매량 2022/06,판매량 2022/07,판매량 2022/08,판매량 2022/09,판매량 2022/10,판매량 2022/11,판매량 2022/12,판매량 2023,판매량 2023/01,판매량 2023/02,판매량 2023/03,판매량 2023/04,판매량 2023/05,판매량 2023/06,판매량  2023/07,판매량 2023/08,판매량 2023/09,판매량 2023/10,판매량 2023/11,판매량 2023/12,판매량 2024,판매량 2024/01,판매량 2024/02,판매량 2024/03,판매량 2024/04,판매량 2024/05,판매량 2024/06,판매량 2024/07,판매량 2024/08,판매량 2024/09,판매량 2024/10,판매량 2024/11,판매량 2024/12,판매량 2025,판매량 2025/01,판매량 2025/02,판매량 2025/03,판매량 2025/04,판매량 2025/05,판매량 2025/06,판매량 2025/07,판매량 2025/08,판매량 2025/09,판매량 2025/10,판매량 2025/11,판매량 2025/12,구성비 2022,구성비 2022/01,구성비 2022/02,구성비 2022/03,구성비 2022/04,구성비 2022/05,구성비 2022/06,구성비 2022/07,구성비 2022/08,구성비 2022/09,구성비 2022/10,구성비 2022/11,구성비 2022/12,구성비 2023,구성비 2023/01,구성비 2023/02,구성비 2023/03,구성비 2023/04,구성비 2023/05,구성비 2023/06,구성비 2023/07,구성비 2023/08,구성비 2023/09,구성비 2023/10,구성비 2023/11,구성비 2023/12,구성비 2024,구성비 2024/01,구성비 2024/02,구성비 2024/03,구성비 2024/04,구성비 2024/05,구성비 2024/06,구성비 2024/07,구성비 2024/08,구성비 2024/09,구성비 2024/10,구성비 2024/11,구성비 2024/12,구성비 2025,구성비 2025/01,구성비 2025/02,구성비 2025/03,구성비 2025/04,구성비 2025/05,구성비 2025/06,구성비 2025/07,구성비 2025/08,구성비 2025/09,구성비 2025/10,구성비 2025/11,구성비 2025/12,SKU 2022,SKU 2022/01,SKU 2022/02,SKU 2022/03,SKU 2022/04,SKU 2022/05,SKU 2022/06,SKU 2022/07,SKU 2022/08,SKU 2022/09,SKU 2022/10,SKU 2022/11,SKU 2022/12,SKU 2023,SKU 2023/01,SKU 2023/02,SKU 2023/03,SKU 2023/04,SKU 2023/05,SKU 2023/06,SKU 2023/07,SKU 2023/08,SKU 2023/09,SKU 2023/10,SKU 2023/11,SKU 2023/12,SKU 2024,SKU 2024/01,SKU 2024/02,SKU 2024/03,SKU 2024/04,SKU 2024/05,SKU 2024/06,SKU 2024/07,SKU 2024/08,SKU 2024/09,SKU 2024/10,SKU 2024/11,SKU 2024/12,SKU 2025,SKU 2025/01,SKU 2025/02,SKU 2025/03,SKU 2025/04,SKU 2025/05,SKU 2025/06,SKU 2025/07,SKU 2025/08,SKU 2025/09,SKU 2025/10,SKU 2025/11,SKU 2025/12,판매가 구간,100개 기준 판매가,300개 기준 판매가,검토 내용,[예림] 비고,"판매일 2023/01 
품절일제외","판매일 2023/02 
품절일제외",판매일 2023/03,판매일 2023/04,판매일 2023/05,판매일 2023/06,판매일 2023/07,판매일 2023/08,판매일 2023/09,판매일 2023/10,판매일 2023/11,판매일 2023/12,판매일 2024/01,판매일 2024/02,판매일 2024/03,판매일 2024/04,판매일 2024/05,판매일 2024/06,판매일 2024/07,판매일 2024/08,판매일 2024/09,판매일 2024/10,판매일 2024/11,판매일 2024/12,판매일 2025/01,판매일 2025/02,판매일 025/03,판매일 2025/04,판매일 2025/05,판매일 2025/06,판매일 2025/07,판매일 2025/08,판매일 2025/09,판매일 2025/10,판매일 2025/11,판매일 2025/12,"활성 판매월 2023  
품절일제외
여름, 겨울시즌 3개월","활성 판매월 2023 
품절일제외
여름, 겨울시즌 3개월","활성 판매월 2023 
품절일제외
여름, 겨울시즌 3개월_2","판매월 2023 
품절일제외
여름, 겨울시즌 3개월","판매월 2024 
품절일제외
여름, 겨울시즌 3개월","판매월 2025 
품절일제외
여름, 겨울시즌 3개월","월평균 2023
수주액 / 활성판매월","월평균 2024
수주액 / 활성판매월","월평균 2025
수주액 / 활성판매월","월평균 2023
수주액 / 판매월","월평균 2024
수주액 / 판매월","월평균 2025
수주액 / 판매월",판매일 2023(휴일제외),판매일 2024(휴일제외),판매일 2025(휴일제외),영업일 2023(출시 및 단종일 고려),영업일 2024출시 및 단종일 고려),영업일 2025 9월 30일까지출시 및 단종일 고려),영업일수 2025 ,품절율 2023,품절율 2024,"품절율 2025  
9월 30일까지",월평균 2023,소싱구분
ACTP,심볼 아크릴 트로피,아크릴,트로피,Awards & Recognition,판매중,PB,2025.6.30,,,223,7.3,,계절적제품: 봄/가을,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,18732130,,,,,,,,6293600,4071500,4164150,2473600,1729280,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1194,,,,,,,,371,300,255,140,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151,0,0,0,0,0,0,0,0.00656,0.00351,0.0036,0.0015,0.00118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,02_5천~1만원,"₩10,300","₩10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,1,0,1,0,0,1,0,#DIV/0!,0,#DIV/0!,#DIV/0!,"18,732,130",0,0,31,0,0,67,,,,0.5373,,
ADYT,올데이 텀블러,스텐 텀블러,텀블러,Drinkware,판매중,PB,2024.5.30,,,619,20.4,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,49755000,,,,,,2653400,6585000,2631000,2990000,8293300,19733400,6868900,66553860,2975000,12023340,250000,2359600,6276700,7967700,9345000,1204300,4122020,14458000,4123600,1448600,,,,,,,,,,,,,,,,,,,,,,,,,,,5050,,,,,,260,600,250,300,770,2210,660,6880,300,1405,250,220,642,810,850,101,367,1315,460,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00373,0,0,0,0,0,0.00256,0.00737,0.00257,0.00271,0.00483,0.01031,0.00453,0.00537,0.00321,0.01681,0.00025,0.00236,0.01054,0.01071,0.01054,0.00125,0.00355,0.01249,0.00251,0.00099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,02_5천~1만원,"₩8,400","₩8,200",,,,,,,,,,,,,,,,,,,4,30,31,31,30,31,30,30,31,,,,,,,,,,,,1,5,4,0,8,1,0,"9,951,000","2,073,325",#DIV/0!,"6,219,375","66,553,860",0,217,31,0,154,195,,,-0.41,0.841,,
AHFF,올데이 핸즈프리 선풍기,선풍기,계절가전,Tech,졸업,NB,2021.5.31,,2023.7.14,774,25.5,계절적제품: 여름,계절적제품: 여름,,45491100,,,,,14572000,26190100,4729000,,,,,,57371000,,,,4754000,47938600,3388400,1250000,,,,40000,,1020000,,,,,,,1020000,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,100,,,,,,0,,,,,,,,,,,,,0.00331,0,0,0,0,0.01443,0.02174,0.00541,0,0,0,0,0,0.00444,0,0,0,0.00757,0.05186,0.00448,0.00138,0,0,0,0.00002,0,0.00008,0,0,0,0,0,0,0.00114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02_5천~1만원,"₩8,500","₩8,300",단종(견적서 등록 완료),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,0,0,0,"19,123,667","340,000",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,140,0,0,,1,,,,국내소싱
ALAC,차량용 공기청정기,청소기,차량용가전,Tech,졸업,NB,2018.11.29,,2020.7.10,589,19.4,,계절적제품: 봄/가을,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,980,0,0,0,0,,980,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,단종(견적서 없음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,,,,,,국내소싱
ALBP,올 블랙 펜,금속펜,펜,Stationery,판매중,NB,2019.8.23,,,2361,77.7,,,,135693220,20604320,3120000,8991000,6091500,9803000,15945000,7412000,8304300,5717000,10485100,18159400,21060600,106887330,11677500,10437000,11488000,2564000,4322000,6422200,4800000,8669000,6779880,3257700,14010470,22459580,88641070,3693600,10306100,2447200,2000000,3820000,7041000,4690000,3068000,7031000,10073210,20104400,14366560,56573930,3620600,9134280,1820000,1895000,2039200,3020000,7876900,4989450,2080000,1310000,10994500,7794000,,,,,,,,,,,,,,,,,,,,,,,,,,,18106,770,2295,480,400,700,1620,1000,600,1450,1801,4010,2980,11459,660,2044,350,350,370,600,1530,1055,450,250,2300,1500,0.00986,0.03494,0.0057,0.01354,0.00535,0.00971,0.01323,0.00848,0.00669,0.00592,0.00746,0.00728,0.01294,0.00826,0.01324,0.01533,0.01165,0.00408,0.00468,0.00849,0.0053,0.00986,0.00648,0.00259,0.00777,0.01029,0.00665,0.00416,0.01264,0.00412,0.0022,0.00418,0.00678,0.00525,0.003,0.00636,0.00586,0.0105,0.00948,0.00456,0.0039,0.01277,0.00184,0.0019,0.00399,0.00902,0.00399,0.0052,0.00179,0.00113,0.00669,0.00531,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01_0~5천원,"₩3,900","₩3,700",,,,,,,,30,31,31,30,31,30,31,31,29,31,30,31,30,31,31,30,31,30,30,31,,,,,,,,,,,,5,12,4,7,12,1,"21,377,466","7,386,756","2,518,303","8,081,990","7,386,756","56,573,930",214,365,31,260,262,195,,0.1769,-0.39,0.841,,
ALUM,올웨이즈 양우산,단우산,우산,Lifestyle,판매중,PB,2023.8.8,,,915,30.1,,계절적제품: 여름,,0,,,,,,,,,,,,,153221290,,,,,,,,19068080,,21773000,33149510,79230700,260874840,12319000,10747000,3563040,37514000,15993760,11983500,26204190,32627800,10739400,33348500,27544720,38289930,231133340,19044500,13365160,41678300,18521680,10460000,17394200,13145400,12864300,20989700,11146000,31724100,20800000,,,,,,,,,,,,,,,,,,,,,,,,,,,14977,750,600,213,2100,828,650,1505,2000,590,1950,1662,2129,13268,1100,774,2530,1069,550,980,780,730,1145,600,1910,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01185,0,0,0,0,0,0,0,0.02169,0,0.01729,0.01837,0.0363,0.01957,0.01386,0.01318,0.006,0.04133,0.0175,0.01154,0.02931,0.03188,0.00972,0.0194,0.01439,0.02527,0.01864,0.02052,0.01869,0.04223,0.01856,0.023,0.01506,0.023,0.0134,0.0181,0.00963,0.0193,0.01416,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,03_1만~1.5만원,"₩12,700","₩12,700",,,,,,,,30,31,31,30,31,30,31,31,29,31,30,,30,31,31,30,31,30,30,31,,,,,,,,,,,,5,11,4,7,11,1,"30,644,258","23,715,895","8,337,125","33,019,049","23,715,895","231,133,340",214,334,31,104,262,195,,-1.0577,-0.27,0.841,,중개소싱
AOBG,애드온 뱃지,뱃지,뱃지,Lifestyle,판매중,PB,2020.10.19,,,1938,63.8,,,,70971390,7886990,0,3824000,,12451000,16184000,5759000,930000,4681000,3342600,9248800,6664000,52223810,12765500,,2770000,1034000,4548000,8247060,710000,5620000,2817750,2521200,4406300,6784000,44836890,695890,3932000,13612000,6026160,3500000,1086000,1830000,,4030000,1980000,7340000,804840,31834990,3830000,1662500,3129600,4528000,5082000,730000,6442600,2543090,,1717200,800000,1370000,,,,,,,,,,,,,,,,,,,,,,,,,,,7619,101,1000,2200,954,400,200,250,,800,300,1300,114,4793,600,250,420,850,700,100,970,393,,210,100,200,0.00516,0.01337,0,0.00576,0,0.01233,0.01343,0.00659,0.00075,0.00485,0.00238,0.00371,0.00409,0.00404,0.01448,0,0.00281,0.00165,0.00492,0.01091,0.00078,0.00639,0.00269,0.002,0.00244,0.00311,0.00336,0.00078,0.00482,0.02292,0.00664,0.00383,0.00105,0.00205,0,0.00365,0.00115,0.00383,0.00053,0.00257,0.00413,0.00232,0.00317,0.00454,0.00097,0.00738,0.00097,0.00265,0,0.00148,0.00049,0.00093,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01_0~5천원,"₩5,400","₩4,200",,,,,,,,,,,,31,30,31,31,29,31,30,31,30,31,31,30,31,30,30,31,,,,,,,,,,,,1,12,4,3,12,1,"52,223,810","3,736,408","495,000","10,611,663","3,736,408","31,834,990",92,365,31,260,262,195,,0.6462,-0.39,0.841,,
ATAU,어드벤스 3단 자동우산,완전자동우산,우산,Lifestyle,판매중,PB,2025.8.12,,,180,5.9,,계절적제품: 여름,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,40099290,,,,,,,,2538400,3470000,,29839890,4251000,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,2044,,,,,,,,130,200,,1464,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00323,0,0,0,0,0,0,0,0.00264,0.00299,0,0.01815,0.00289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,03_1만~1.5만원,"₩13,700","₩13,700",,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,1,0,1,0,0,1,0,#DIV/0!,0,#DIV/0!,#DIV/0!,"40,099,290",0,0,31,0,0,36,,,,0.1389,,직소싱
ATCB,어태치보조배터리,휴대용,배터리,Tech,졸업,NB,2022.6.22,2023.12.11,2024.8.28,798,26.3,,,,78466600,,,,,,,4589000,28284100,5849000,9165400,19397500,11181600,265012480,7801500,14635100,28397400,3785000,20557300,12304500,17909300,11372100,60721300,26079600,33591060,27858320,108218510,32326300,13440500,8217500,8381000,31183010,4044000,8901200,1295000,,,430000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9392,2360,1055,600,650,2987,450,1090,150,,,50,,0,,,,,,,,,,,,,0.0057,0,0,0,0,0,0,0.00525,0.02279,0.00606,0.00653,0.00777,0.00687,0.02049,0.00885,0.0215,0.02881,0.00603,0.02224,0.01627,0.01977,0.01294,0.05806,0.02071,0.01862,0.01276,0.00812,0.03638,0.01649,0.01384,0.00923,0.03412,0.0039,0.00996,0.00127,0,0,0.00022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02_5천~1만원,"₩5,900","₩5,800",단종(견적서 등록 완료),,,,,,,30,31,31,30,31,30,31,31,29,31,30,31,30,31,31,2,,,,,,,,,,,,,,,,5,12,0,7,9,0,"53,002,496","9,018,209",#DIV/0!,0,"12,024,279",#DIV/0!,214,246,0,260,173,0,,0.1769,-0.42,,,국내소싱
ATSB,어텐션 스포츠 보틀,스텐 보틀,보틀,Drinkware,판매중,PB,2023.5.8,,,1007,33.1,,,,0,,,,,,,,,,,,,42359000,,,,,12500,3079000,7489000,8290000,7394500,8880000,5724000,1490000,67485520,2175000,,7331000,1480820,5175000,22247700,59000,8000000,9873000,9645000,1499000,,81995170,2940000,2726000,8315570,10778000,3329000,3109000,11165200,10666000,6945000,15332000,,6689400,,,,,,,,,,,,,,,,,,,,,,,,,,,4816,150,,500,106,350,1590,0,600,720,700,100,,5409,200,200,593,700,200,200,721,700,450,975,,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00328,0,0,0,0,0.00001,0.00407,0.00827,0.00943,0.00707,0.00705,0.00317,0.00068,0.00506,0.00245,0,0.01235,0.00163,0.00566,0.02143,0.00007,0.00782,0.00894,0.00561,0.00078,0,0.00661,0.00317,0.00381,0.00843,0.0108,0.00411,0.01279,0.00411,0.01111,0.00599,0.01325,0,0.00455,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,03_1만~1.5만원,"₩11,800","₩11,300",,,,,,,,30,31,31,30,31,30,31,31,29,31,30,31,30,31,31,30,31,30,30,31,,,,,,,,,,,,5,12,4,7,12,1,"8,471,800","5,623,793","2,411,250","11,713,596","5,623,793","81,995,170",214,365,31,170,262,195,,-0.2588,-0.39,0.841,,국내소싱
